SKU,Hero Image,URL,Product Type,MSRP,Title,Decription,Collection,Metal Type1,Metal Type2,Metal Type 3,GemType1,GemType2,GemType3,GemType4
PCC4012_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/C/PCC4012_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/pomellato-together-necklace-with-pendant-pcc4012-o7whr-db000?size=22,Necklace,4800,Pomellato Together Necklace with pendant,,Pomellato Together,18k Rose Gold,,,Diamond,,,
POC4010_O7000_00000,https://media.pomellato.com/media/catalog/product/P/O/POC4010_O7000_00000_10.jpg,https://www.pomellato.com/us_en/pomellato-together-earrings-poc4010-o7000-00000?size=152,Earrings,3150,Pomellato Together Earrings,,Pomellato Together,18k Rose Gold,,,,,,
PBC4010_O7000_00000,https://media.pomellato.com/media/catalog/product/P/B/PBC4010_O7000_00000_10.jpg,https://www.pomellato.com/us_en/pomellato-together-bangle-pbc4010-o7000-00000?size=5,Bangle,7950,Pomellato Together Bangle,,Pomellato Together,18k Rose Gold,,,,,,
PBC3053_O7BWR_DBX00,https://media.pomellato.com/media/catalog/product/P/B/PBC3053_O7BWR_DBX00_10.jpg,https://www.pomellato.com/us_en/sabbia-bracelet-pbc3053-o7bwr-dbx00?size=6,Bracelet,17750,Sabbia Bracelet,,Sabbia,18k Rose Gold,,,Brown Diamond,Diamond,Treated Black Diamond,
PAC4010_O7000_00000,https://media.pomellato.com/media/catalog/product/P/A/PAC4010_O7000_00000_10.jpg,https://www.pomellato.com/us_en/pomellato-together-ring-pac4010-o7000-00000?size=19,Ring,2550,Pomellato Together Ring,,Pomellato Together,18k Rose Gold,,,,,,
PAC5013_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAC5013_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/pomellato-together-ring-pac5013-o7000-db000?size=18,Ring,2250,Pomellato Together Ring,,Pomellato Together,18k Rose Gold,,,Diamond,,,
POB2041_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/O/POB2041_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/sabbia-earrings-pob2041-o7000-db000?size=152,Earrings,7600,Sabbia Earrings,,Sabbia,18k Rose Gold,,,Diamond,,,
POB7120_O7000_00000,https://media.pomellato.com/media/catalog/product/P/O/POB7120_O7000_00000_10.jpg,https://www.pomellato.com/us_en/iconica-earrings-pob7120-o7000-00000?size=152,Earrings,4600,Iconica Earrings,,Iconica,18k Rose Gold,,,,,,
PAC3020_O7000_000TL,https://media.pomellato.com/media/catalog/product/P/A/PAC3020_O7000_000TL_10.jpg,https://www.pomellato.com/us_en/iconica-ring-pac3020-o7000-000tl?size=18,Ring,3950,Iconica Ring,,Iconica,18k Rose Gold,,,Blue London Topaz,,,
PAC3020_O7000_000GP,https://media.pomellato.com/media/catalog/product/P/A/PAC3020_O7000_000GP_10.jpg,https://www.pomellato.com/us_en/iconica-ring-pac3020-o7000-000gp?size=18,Ring,3850,Iconica Ring,,Iconica,18k Rose Gold,,,Garnet,,,
