SKU,Hero Image,URL,Product Type,MSRP,Title,Decription,Collection,Metal Type1,Metal Type2,Metal Type 3,GemType1,GemType2,GemType3,GemType4
PBB7126_O7000_00000,https://media.pomellato.com/media/catalog/product/P/B/PBB7126_O7000_00000_10.jpg,https://www.pomellato.com/us_en/iconica-medium-bracelet-pbb7126-o7000-00000?size=6,Bracelet,14150,Iconica Medium Bracelet,,Iconica,18k Rose Gold,,,,,,
POC2062_O7000_00000,https://media.pomellato.com/media/catalog/product/P/O/POC2062_O7000_00000_10.jpg,https://www.pomellato.com/us_en/iconica-earrings-poc2062-o7000-00000?size=152,Earrings,8550,Iconica Earrings,,Iconica,18k Rose Gold,,,,,,
PA9106E_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/A/PA9106E_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-slim-ring-pa9106e-o7000-db000?size=19,Ring,5000,Iconica Slim Ring,,Iconica,18k Rose Gold,,,Diamond,,,
POC2061_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/O/POC2061_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-earrings-poc2061-o7000-db000?size=152,Earrings,7300,Iconica Earrings,,Iconica,18k Rose Gold,,,Diamond,,,
PBB7128_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/B/PBB7128_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-medium-bracelet-pbb7128-o7whr-db000?size=6,Bracelet,21400,Iconica Medium Bracelet,,Iconica,18k Rose Gold,,,Diamond,,,
PBB7129_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/B/PBB7129_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-slim-bracelet-pbb7129-o7whr-db000?size=5,Bracelet,17000,Iconica Slim Bracelet,,Iconica,18k Rose Gold,,,Diamond,,,
PA9106D_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/A/PA9106D_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-large-ring-pa9106d-o7000-db000?size=18,Ring,7300,Iconica Large Ring,,Iconica,18k Rose Gold,,,Diamond,,,
PCB9010_O7000_000VA,https://media.pomellato.com/media/catalog/product/P/C/PCB9010_O7000_000VA_10.jpg,https://www.pomellato.com/us_en/iconica-necklace-with-pendant-pcb9010-o7000-000va?size=156,Necklace,2800,Iconica Necklace With Pendant,,Iconica,18k Rose Gold,,,Treated Orange Sapphire,Blue Sapphire,Pink Sapphire,Tsavorite
POC1002_O7000_000VA,https://media.pomellato.com/media/catalog/product/P/O/POC1002_O7000_000VA_10.jpg,https://www.pomellato.com/us_en/iconica-earrings-poc1002-o7000-000va?size=152,Earrings,7450,Iconica Earrings,,Iconica,18k Rose Gold,,,Red Tourmaline,Blue Sapphire,Spinel,Tanzanita
PAC2062_O7000_000VA,https://media.pomellato.com/media/catalog/product/P/A/PAC2062_O7000_000VA_10.jpg,https://www.pomellato.com/us_en/iconica-slim-ring-pac2062-o7000-000va?size=18,Ring,5100,Iconica Slim Ring,,Iconica,18k Rose Gold,,,Treated Orange Sapphire,Peridot,Blue Sapphire,Spinel
POB2010_O6000_000QR,https://media.pomellato.com/media/catalog/product/P/O/POB2010_O6000_000QR_10.jpg,https://www.pomellato.com/us_en/nudo-petit-earrings-pob2010-o6000-000qr?size=152,Earrings,3800,Nudo Petit Earrings,,Nudo,18k Rose Gold,18k White Gold,,Rose Quartz,,,
PAB4030_O6000_000QR,https://media.pomellato.com/media/catalog/product/P/A/PAB4030_O6000_000QR_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab4030-o6000-000qr?size=18,Ring,2000,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,Rose Quartz,,,
PCC2022_O7000_BRCQR,https://media.pomellato.com/media/catalog/product/P/C/PCC2022_O7000_BRCQR_10.jpg,https://www.pomellato.com/us_en/nudo-classic-necklace-with-pendant-pcc2022-o7000-brcqr?size=154,Necklace,3350,Nudo Classic Necklace with Pendant,,Nudo,18k White Gold,18k Rose Gold,,Rose Quartz,Chalcedony,Diamond,
PAA1100_O6000_SOVCY,https://media.pomellato.com/media/catalog/product/P/A/PAA1100_O6000_SOVCY_10.jpg,https://www.pomellato.com/us_en/ring-nudo-gele-classic-paa1100-o6000-sovcy?size=19,Ring,3200,Ring Nudo Gele Classic,,Nudo,18k Rose Gold,,,Citrine,,,
PCC2022_O6WHR_DB0TL,https://media.pomellato.com/media/catalog/product/P/C/PCC2022_O6WHR_DB0TL_10.jpg,https://www.pomellato.com/us_en/nudo-classic-necklace-with-pendant-pcc2022-o6whr-db0tl?size=154,Necklace,4300,Nudo Classic Necklace with Pendant,,Nudo,18k White Gold,18k Rose Gold,,Diamond,Blue London Topaz,,
POC2025_O7WHR_DB0TL,https://media.pomellato.com/media/catalog/product/P/O/POC2025_O7WHR_DB0TL_10.jpg,https://www.pomellato.com/us_en/nudo-earrings-poc2025-o7whr-db0tl?size=152,Earrings,11400,Nudo Earrings,,Nudo,18k Rose Gold,,,Diamond,Blue London Topaz,,
PAC0040_O6WHR_B0TTU,https://media.pomellato.com/media/catalog/product/P/A/PAC0040_O6WHR_B0TTU_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-pac0040-o6whr-b0ttu?size=19,Ring,6350,Nudo Classic Ring,,Nudo,18k White Gold,18k Rose Gold,,Blue London Topaz,Turquoise,Diamond,
PCC2022_O6WHR_DB0OY,https://media.pomellato.com/media/catalog/product/P/C/PCC2022_O6WHR_DB0OY_10.jpg,https://www.pomellato.com/us_en/nudo-classic-necklace-with-pendant-pcc2022-o6whr-db0oy?size=27,Necklace,4350,Nudo Classic Necklace with Pendant,,Nudo,18k White Gold,18k Rose Gold,,Diamond,Blue Topaz,,
PAB7040_O6WHR_DB0OY,https://media.pomellato.com/media/catalog/product/P/A/PAB7040_O6WHR_DB0OY_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab7040-o6whr-db0oy?size=19,Ring,4400,Nudo Petit Ring,,Nudo,18k White Gold,18k Rose Gold,,Blue Topaz,Agate,Diamond,
PBC1006_O7WHR_BTBMP,https://media.pomellato.com/media/catalog/product/P/B/PBC1006_O7WHR_BTBMP_10.jpg,https://www.pomellato.com/us_en/nudo-bracelet-pbc1006-o7whr-btbmp?size=5,Bracelet,10300,Nudo Bracelet,,Nudo,18k Rose Gold,,,White Topaz,Mother-Of-Pearl,Diamond,
PCB9051_O6000_DB0VA,https://media.pomellato.com/media/catalog/product/P/C/PCB9051_O6000_DB0VA_10.jpg,https://www.pomellato.com/us_en/nudo-necklace-pcb9051-o6000-db0va?size=20,Necklace,9500,Nudo Necklace,,Nudo,18k White Gold,18k Rose Gold,,Diamond,Mother-Of-Pearl,White Topaz,
PBC1006_O7WHR_DB0OY,https://media.pomellato.com/media/catalog/product/P/B/PBC1006_O7WHR_DB0OY_10.jpg,https://www.pomellato.com/us_en/nudo-bracelet-pbc1006-o7whr-db0oy?size=6,Bracelet,10650,Nudo Bracelet,,Nudo,18k Rose Gold,,,Blue Topaz,Diamond,,
PAC0040_O6WHR_DB0TB,https://media.pomellato.com/media/catalog/product/P/A/PAC0040_O6WHR_DB0TB_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-pac0040-o6whr-db0tb?size=18,Ring,5550,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,White Topaz,Diamond,,
PBC1006_O7000_BRQRC,https://media.pomellato.com/media/catalog/product/P/B/PBC1006_O7000_BRQRC_10.jpg,https://www.pomellato.com/us_en/nudo-bracelet-pbc1006-o7000-brqrc?size=5,Bracelet,9300,Nudo Bracelet,,Nudo,18k Rose Gold,,,Rose Quartz,Chalcedony,Brown Diamond,
PAA1100_O6000_000QR,https://media.pomellato.com/media/catalog/product/P/A/PAA1100_O6000_000QR_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-paa1100-o6000-000qr?size=18,Ring,2600,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,Rose Quartz,,,
POB4010_O6000_BRCQR,https://media.pomellato.com/media/catalog/product/P/O/POB4010_O6000_BRCQR_10.jpg,https://www.pomellato.com/us_en/nudo-classic-earrings-pob4010-o6000-brcqr?size=152,Earrings,5750,Nudo Classic Earrings,,Nudo,18k Rose Gold,18k White Gold,,Rose Quartz,Brown Diamond,,
POB4010_O6000_DB0OY,https://media.pomellato.com/media/catalog/product/P/O/POB4010_O6000_DB0OY_10.jpg,https://www.pomellato.com/us_en/nudo-classic-earrings-pob4010-o6000-db0oy?size=152,Earrings,6600,Nudo Classic Earrings,,Nudo,18k Rose Gold,18k White Gold,,Blue Topaz,,,
PCB9051_O6000_DB0OY,https://media.pomellato.com/media/catalog/product/P/C/PCB9051_O6000_DB0OY_10.jpg,https://www.pomellato.com/us_en/nudo-necklace-pcb9051-o6000-db0oy?size=20,Necklace,10100,Nudo Necklace,,Nudo,18k White Gold,18k Rose Gold,,Diamond,Blue Topaz,,
PBC1006_O7WHR_DB0TL,https://media.pomellato.com/media/catalog/product/P/B/PBC1006_O7WHR_DB0TL_10.jpg,https://www.pomellato.com/us_en/nudo-bracelet-pbc1006-o7whr-db0tl?size=6,Bracelet,11800,Nudo Bracelet,,Nudo,18k Rose Gold,,,Blue London Topaz,Diamond,,
PAA1100_O6000_000TL,https://media.pomellato.com/media/catalog/product/P/A/PAA1100_O6000_000TL_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-paa1100-o6000-000tl?size=18,Ring,3550,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,Blue London Topaz,,,
POB4010_O6WHR_B0TTU,https://media.pomellato.com/media/catalog/product/P/O/POB4010_O6WHR_B0TTU_10.jpg,https://www.pomellato.com/us_en/nudo-classic-earrings-pob4010-o6whr-b0ttu?size=152,Earrings,8000,Nudo Classic Earrings,,Nudo,18k White Gold,18k Rose Gold,,Blue London Topaz,Turquoise,Diamond,
PAB9050_OT000_DBKOS,https://media.pomellato.com/media/catalog/product/P/A/PAB9050_OT000_DBKOS_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-pab9050-ot000-dbkos?size=18,Ring,4200,Nudo Classic Ring,,Nudo,18k Rose Gold,,,Obsidian,Treated Black Diamond,,
PAB9012_O7000_000VA,https://media.pomellato.com/media/catalog/product/P/A/PAB9012_O7000_000VA_10.jpg,https://www.pomellato.com/us_en/iconica-large-ring-pab9012-o7000-000va?size=18,Ring,8550,Iconica Large Ring,,Iconica,18k Rose Gold,,,Red Tourmaline,Treated Orange Sapphire,Blue Sapphire,Spinel
PBC1001_O7000_000VA,https://media.pomellato.com/media/catalog/product/P/B/PBC1001_O7000_000VA_10.jpg,https://www.pomellato.com/us_en/iconica-bangle-pbc1001-o7000-000va?size=5,Bangle,17350,Iconica Bangle,,Iconica,18k Rose Gold,,,Red Tourmaline,Blue Sapphire,Spinel,Tanzanita
PAB9011_O7000_000VA,https://media.pomellato.com/media/catalog/product/P/A/PAB9011_O7000_000VA_10.jpg,https://www.pomellato.com/us_en/iconica-medium-ring-pab9011-o7000-000va?size=18,Ring,6050,Iconica Medium Ring,,Iconica,18k Rose Gold,,,Red Tourmaline,Treated Orange Sapphire,Blue Sapphire,Spinel
PCB7122_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/C/PCB7122_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-necklace-with-pendant-pcb7122-o7000-db000?size=156,Necklace,2800,Iconica Necklace With Pendant,,Iconica,18k Rose Gold,,,Diamond,,,
PBC1000_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/B/PBC1000_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-bangle-pbc1000-o7000-db000?size=5,Bangle,14000,Iconica Bangle,,Iconica,18k Rose Gold,,,Diamond,,,
PAC0090_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAC0090_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/fantina-ring-pac0090-o7whr-db000?size=18,Ring,7000,Fantina Ring,,Fantina,18k Rose Gold,,,Diamond,,,
PCC1021_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/C/PCC1021_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/fantina-necklace-pcc1021-o7000-db000?size=152,Necklace,11050,Fantina Necklace,,Fantina,18k Rose Gold,,,Diamond,,,
PAC1011_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAC1011_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/catene-ring-pac1011-o7000-db000?size=18,Ring,7000,Catene Ring,,Catene,18k Rose Gold,,,Diamond,,,
POC1021_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/O/POC1021_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/fantina-earrings-poc1021-o7000-db000?size=152,Earrings,7500,Fantina Earrings,,Fantina,18k Rose Gold,,,Diamond,,,
PAB4070_O7000_DBR00,https://media.pomellato.com/media/catalog/product/P/A/PAB4070_O7000_DBR00_10.jpg,https://www.pomellato.com/us_en/sabbia-ring-pab4070-o7000-dbr00?size=18,Ring,1750,Sabbia Ring,,Sabbia,18k Rose Gold,,,Brown Diamond,,,
PAC0010_07BWR_DBX00,https://media.pomellato.com/media/catalog/product/P/A/PAC0010_07BWR_DBX00_10.jpg,https://www.pomellato.com/us_en/sabbia-ring-pac0010-07bwr-dbx00?size=19,Ring,9000,Sabbia Ring,,Sabbia,18k Rose Gold,,,Diamond,Brown Diamond,Treated Black Diamond,
PBC0091_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/B/PBC0091_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/fantina-bracelet-pbc0091-o7whr-db000?size=6,Bracelet,18750,Fantina Bracelet,,Fantina,18k Rose Gold,,,Diamond,,,
PCB6010_O6000_000TL,https://media.pomellato.com/media/catalog/product/P/C/PCB6010_O6000_000TL_10.jpg,https://www.pomellato.com/us_en/nudo-petit-necklace-with-pendant-pcb6010-o6000-000tl?size=154,Necklace,3200,Nudo Petit Necklace with Pendant,,Nudo,18k Rose Gold,18k White Gold,,Blue London Topaz,,,
POB2010_O6000_000TL,https://media.pomellato.com/media/catalog/product/P/O/POB2010_O6000_000TL_10.jpg,https://www.pomellato.com/us_en/nudo-petit-earrings-pob2010-o6000-000tl?size=152,Earrings,5250,Nudo Petit Earrings,,Nudo,18k Rose Gold,18k White Gold,,Blue London Topaz,,,
PAA1100_O6000_000OY,https://media.pomellato.com/media/catalog/product/P/A/PAA1100_O6000_000OY_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-paa1100-o6000-000oy?size=18,Ring,2800,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,Blue Topaz,,,
PAB4030_O6000_000TB,https://media.pomellato.com/media/catalog/product/P/A/PAB4030_O6000_000TB_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab4030-o6000-000tb?size=18,Ring,2000,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,White Topaz,,,
PCB6010_O6000_000TB,https://media.pomellato.com/media/catalog/product/P/C/PCB6010_O6000_000TB_10.jpg,https://www.pomellato.com/us_en/nudo-petit-necklace-with-pendant-pcb6010-o6000-000tb?size=154,Necklace,2450,Nudo Petit Necklace with Pendant,,Nudo,18k Rose Gold,18k White Gold,,White Topaz,,,
PAA1100_O6000_000QL,https://media.pomellato.com/media/catalog/product/P/A/PAA1100_O6000_000QL_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-paa1100-o6000-000ql?size=18,Ring,2600,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,Lemon Quartz,,,
PAB7040_O6WHR_DB0PA,https://media.pomellato.com/media/catalog/product/P/A/PAB7040_O6WHR_DB0PA_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab7040-o6whr-db0pa?size=18,Ring,4300,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,Prasiolite,Diamond,,
POB2010_O6000_000PA,https://media.pomellato.com/media/catalog/product/P/O/POB2010_O6000_000PA_10.jpg,https://www.pomellato.com/us_en/nudo-petit-earrings-pob2010-o6000-000pa?size=152,Earrings,4250,Nudo Petit Earrings,,Nudo,18k Rose Gold,18k White Gold,,Prasiolite,,,
PCB6010_O6000_000PA,https://media.pomellato.com/media/catalog/product/P/C/PCB6010_O6000_000PA_10.jpg,https://www.pomellato.com/us_en/nudo-petit-necklace-with-pendant-pcb6010-o6000-000pa?size=154,Necklace,2650,Nudo Petit Necklace with Pendant,,Nudo,18k Rose Gold,18k White Gold,,Prasiolite,,,
PAC0040_O7000_BRCQR,https://media.pomellato.com/media/catalog/product/P/A/PAC0040_O7000_BRCQR_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-pac0040-o7000-brcqr?size=18,Ring,4400,Nudo Classic Ring,,Nudo,18k White Gold,18k Rose Gold,,Rose Quartz,Brown Diamond,,
PAB7040_O6000_BRCQR,https://media.pomellato.com/media/catalog/product/P/A/PAB7040_O6000_BRCQR_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab7040-o6000-brcqr?size=18,Ring,3450,Nudo Petit Ring,,Nudo,18k White Gold,18k Rose Gold,,Rose Quartz,Brown Diamond,,
POB4010_O6WHR_B0YAV,https://media.pomellato.com/media/catalog/product/P/O/POB4010_O6WHR_B0YAV_10.jpg,https://www.pomellato.com/us_en/nudo-classic-earrings-pob4010-o6whr-b0yav?size=152,Earrings,6950,Nudo Classic Earrings,,Nudo,18k White Gold,18k Rose Gold,,Blue Topaz,Agate,Diamond,
PAB7040_O6WHR_B0TTU,https://media.pomellato.com/media/catalog/product/P/A/PAB7040_O6WHR_B0TTU_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab7040-o6whr-b0ttu?size=18,Ring,4750,Nudo Petit Ring,,Nudo,18k White Gold,18k Rose Gold,,Blue London Topaz,Turquoise,Diamond,
POB2010_O6000_000OY,https://media.pomellato.com/media/catalog/product/P/O/POB2010_O6000_000OY_10.jpg,https://www.pomellato.com/us_en/nudo-petit-earrings-pob2010-o6000-000oy?size=152,Earrings,4250,Nudo Petit Earrings,,Nudo,18k Rose Gold,18k White Gold,,Blue Topaz,,,
PAC0040_O6WHR_DB0PA,https://media.pomellato.com/media/catalog/product/P/A/PAC0040_O6WHR_DB0PA_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-pac0040-o6whr-db0pa?size=19,Ring,5650,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,Prasiolite,Diamond,,
PBC0101_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/B/PBC0101_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-bangle-pbc0101-o7whr-db000?size=5,Bangle,24700,Iconica Bangle,,Iconica,18k Rose Gold,,,Diamond,,,
PBB7012_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/B/PBB7012_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/sabbia-bracelet-pbb7012-o7000-db000?size=5,Bracelet,3550,Sabbia Bracelet,,Sabbia,18k Rose Gold,,,Diamond,,,
PCB2142_O7000_00000,https://media.pomellato.com/media/catalog/product/P/C/PCB2142_O7000_00000_10.jpg,https://www.pomellato.com/us_en/gold-necklace-pcb2142-o7000-00000?size=152,Necklace,4700,Gold Necklace,,,18k Rose Gold,,,,,,
PBC0100_O7000_00000,https://media.pomellato.com/media/catalog/product/P/B/PBC0100_O7000_00000_10.jpg,https://www.pomellato.com/us_en/iconica-bangle-pbc0100-o7000-00000?size=5,Bangle,7600,Iconica Bangle,,Iconica,18k Rose Gold,,,,,,
POB7122_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/O/POB7122_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-earrings-pob7122-o7whr-db000?size=152,Earrings,16250,Iconica Earrings,,Iconica,18k Rose Gold,,,Diamond,,,
PAB4010_O6000_BRCQR,https://media.pomellato.com/media/catalog/product/P/A/PAB4010_O6000_BRCQR_10.jpg,https://www.pomellato.com/us_en/nudo-maxi-ring-pab4010-o6000-brcqr?size=18,Ring,5100,Nudo Maxi Ring,,Nudo,18k Rose Gold,18k White Gold,,Rose Quartz,Brown Diamond,,
PAC0040_O6WHR_B0YAV,https://media.pomellato.com/media/catalog/product/P/A/PAC0040_O6WHR_B0YAV_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-pac0040-o6whr-b0yav?size=18,Ring,5850,Nudo Classic Ring,,Nudo,18k White Gold,18k Rose Gold,,Blue Topaz,Agate,Diamond,
POB4010_O6000_DB0TL,https://media.pomellato.com/media/catalog/product/P/O/POB4010_O6000_DB0TL_10.jpg,https://www.pomellato.com/us_en/nudo-classic-earrings-pob4010-o6000-db0tl?size=152,Earrings,7600,Nudo Classic Earrings,,Nudo,18k Rose Gold,18k White Gold,,Blue London Topaz,,,
POA1070_O6000_000OY,https://media.pomellato.com/media/catalog/product/P/O/POA1070_O6000_000OY_10.jpg,https://www.pomellato.com/us_en/nudo-classic-earrings-poa1070-o6000-000oy?size=152,Earrings,5350,Nudo Classic Earrings,,Nudo,18k Rose Gold,18k White Gold,,Blue Topaz,,,
POA1070_O6000_000TL,https://media.pomellato.com/media/catalog/product/P/O/POA1070_O6000_000TL_10.jpg,https://www.pomellato.com/us_en/nudo-classic-earrings-poa1070-o6000-000tl?size=152,Earrings,6150,Nudo Classic Earrings,,Nudo,18k Rose Gold,18k White Gold,,Blue London Topaz,,,
PAB4030_O6000_000TL,https://media.pomellato.com/media/catalog/product/P/A/PAB4030_O6000_000TL_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab4030-o6000-000tl?size=18,Ring,2500,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,Blue Topaz,,,
PAB4030_O6000_000OY,https://media.pomellato.com/media/catalog/product/P/A/PAB4030_O6000_000OY_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab4030-o6000-000oy?size=18,Ring,2200,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,Blue Topaz,,,
PAA1100_O6000_000PA,https://media.pomellato.com/media/catalog/product/P/A/PAA1100_O6000_000PA_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-paa1100-o6000-000pa?size=18,Ring,2800,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,Prasiolite,,,
PAB4030_O6000_000PA,https://media.pomellato.com/media/catalog/product/P/A/PAB4030_O6000_000PA_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab4030-o6000-000pa?size=18,Ring,2200,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,Prasiolite,,,
PAB4030_O6000_000QL,https://media.pomellato.com/media/catalog/product/P/A/PAB4030_O6000_000QL_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab4030-o6000-000ql?size=18,Ring,2000,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,Lemon Quartz,,,
PAA1100_O6000_000OI,https://media.pomellato.com/media/catalog/product/P/A/PAA1100_O6000_000OI_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-paa1100-o6000-000oi?size=18,Ring,2600,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,Amethyst,,,
PAB4030_O6000_000OI,https://media.pomellato.com/media/catalog/product/P/A/PAB4030_O6000_000OI_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab4030-o6000-000oi?size=18,Ring,2000,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,Amethyst,,,
POB5010_O6000_DB000,https://media.pomellato.com/media/catalog/product/P/O/POB5010_O6000_DB000_10.jpg,https://www.pomellato.com/us_en/nudo-petit-earrings-pob5010-o6000-db000?size=152,Earrings,10300,Nudo Petit Earrings,,Nudo,18k White Gold,,,Diamond,,,
PAB5010_O6000_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAB5010_O6000_DB000_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab5010-o6000-db000?size=18,Ring,5700,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,Diamond,,,
PCB6012_O6000_DB000,https://media.pomellato.com/media/catalog/product/P/C/PCB6012_O6000_DB000_10.jpg,https://www.pomellato.com/us_en/nudo-petit-necklace-with-pendant-pcb6012-o6000-db000?size=154,Necklace,5950,Nudo Petit Necklace with Pendant,,Nudo,18k Rose Gold,18k White Gold,,Diamond,,,
PBB7127_O7000_00000,https://media.pomellato.com/media/catalog/product/P/B/PBB7127_O7000_00000_10.jpg,https://www.pomellato.com/us_en/iconica-slim-bracelet-pbb7127-o7000-00000?size=5,Bracelet,10500,Iconica Slim Bracelet,,Iconica,18k Rose Gold,,,,,,
PMB9022_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/M/PMB9022_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/orsetto-pendant-pmb9022-o7000-db000?size=152,Pendant,3150,Orsetto Pendant,,Orsetto,18k Rose Gold,,,Diamond,,,
PMB902A_O7000_00000,https://media.pomellato.com/media/catalog/product/P/M/PMB902A_O7000_00000_10.jpg,https://www.pomellato.com/us_en/orsetto-pendant-pmb902a-o7000-00000?size=152,Pendant,1600,Orsetto Pendant,,Orsetto,18k Rose Gold,,,,,,
PCB2140_O7000_00000,https://media.pomellato.com/media/catalog/product/P/C/PCB2140_O7000_00000_10.jpg,https://www.pomellato.com/us_en/gold-necklace-pcb2140-o7000-00000?size=41,Necklace,3050,Gold Necklace,,,18k Rose Gold,,,,,,
PCB8030_O7000_00000,https://media.pomellato.com/media/catalog/product/P/C/PCB8030_O7000_00000_10.jpg,https://www.pomellato.com/us_en/gold-necklace-pcb8030-o7000-00000?size=152,Necklace,17800,Gold Necklace,,,18k Rose Gold,,,,,,
,,https://www.pomellato.com/us_en/gold-necklace-pca7010-o7000-00000?size=152,Necklace,10250,Gold Necklace,,,18k Rose Gold,,,,,,
PAB9032_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAB9032_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/sabbia-ring-pab9032-o7000-db000?size=22,Ring,2450,Sabbia Ring,,Sabbia,18k Rose Gold,,,Diamond,,,
PAB9032_O7000_DBR00,https://media.pomellato.com/media/catalog/product/P/A/PAB9032_O7000_DBR00_10.jpg,https://www.pomellato.com/us_en/sabbia-ring-pab9032-o7000-dbr00?size=27,Ring,1750,Sabbia Ring,,Sabbia,18k Rose Gold,,,Brown Diamond,,,
PAB2040_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAB2040_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/sabbia-ring-pab2040-o7000-db000?size=19,Ring,6000,Sabbia Ring,,Sabbia,18k Rose Gold,,,Diamond,,,
PBB7011_O7000_DBR00,https://media.pomellato.com/media/catalog/product/P/B/PBB7011_O7000_DBR00_10.jpg,https://www.pomellato.com/us_en/sabbia-bracelet-pbb7011-o7000-dbr00?size=5,Bracelet,3450,Sabbia Bracelet,,Sabbia,18k Rose Gold,,,Brown Diamond,,,
POB2041_O7000_DBR00,https://media.pomellato.com/media/catalog/product/P/O/POB2041_O7000_DBR00_10.jpg,https://www.pomellato.com/us_en/sabbia-earrings-pob2041-o7000-dbr00?size=152,Earrings,4800,Sabbia Earrings,,Sabbia,18k Rose Gold,,,Brown Diamond,,,
PAB4011_OT000_DBKOS,https://media.pomellato.com/media/catalog/product/P/A/PAB4011_OT000_DBKOS_10.jpg,https://www.pomellato.com/us_en/nudo-maxi-ring-pab4011-ot000-dbkos?size=18,Ring,5050,Nudo Maxi Ring,,Nudo,18k Rose Gold,,,Obsidian,Treated Black Diamond,,
